full_name,email,roll_number,enrollment_number,section_id
Sanjeev Bajaj,sanjeev.bajaj479@yahoo.com,EE23892,EN20230892,C
Varun Watts,varun.watts500@yahoo.com,ME24860,EN20240860,B
Simran Grover,simran.grover153@yahoo.com,BT21924,EN20210924,C
Seema Iyer,seema.iyer584@yahoo.com,CE21289,EN20210289,C
Siddharth Khanna,siddharth.khanna579@college.ac.in,IT24272,EN20240272,C
Ankit Qureshi,ankit.qureshi3@yahoo.com,ME21689,EN20210689,C
Disha Negi,disha.negi99@college.ac.in,CE23921,EN20230921,B
Pooja Kapoor,pooja.kapoor593@student.edu,EC23551,EN20230551,D
Rajat Iyer,rajat.iyer927@outlook.com,CE23713,EN20230713,B
Tanvi Lakhotia,tanvi.lakhotia71@gmail.com,ME24113,EN20240113,B
Ashish Kapoor,ashish.kapoor504@yahoo.com,MA21806,EN20210806,A
Shweta Oberoi,shweta.oberoi353@student.edu,EC20217,EN20200217,B
Himanshu Dubey,himanshu.dubey115@outlook.com,CE21534,EN20210534,A
Rakesh Iyer,rakesh.iyer318@outlook.com,CS20867,EN20200867,B
Alok Kumar,alok.kumar76@outlook.com,EC20016,EN20200016,A
Simran Watts,simran.watts370@student.edu,EC23526,EN20230526,C
Deepika Garg,deepika.garg370@yahoo.com,CE23528,EN20230528,C
Ankit Vij,ankit.vij955@student.edu,PH20178,EN20200178,D
Mohit Shukla,mohit.shukla981@student.edu,BT22560,EN20220560,C
Bhavna Naidu,bhavna.naidu447@outlook.com,EE22393,EN20220393,B
Tarun Kapoor,tarun.kapoor529@outlook.com,PH24745,EN20240745,B
Vikram Tandon,vikram.tandon307@college.ac.in,CE20040,EN20200040,A
Ankita Ahuja,ankita.ahuja462@outlook.com,BT24659,EN20240659,A
Kunal Wadhwa,kunal.wadhwa614@gmail.com,CS23762,EN20230762,C
Ashish Dua,ashish.dua280@student.edu,IT23422,EN20230422,B
Rekha Madan,rekha.madan807@outlook.com,CE21801,EN20210801,A
Swati Singh,swati.singh660@yahoo.com,PH21509,EN20210509,B
Shweta Upadhyay,shweta.upadhyay721@gmail.com,EE24793,EN20240793,D
Ekta Mishra,ekta.mishra154@college.ac.in,ME24065,EN20240065,D
Nikhil Chauhan,nikhil.chauhan331@student.edu,CH22276,EN20220276,B
Rohan Bose,rohan.bose656@student.edu,MA20237,EN20200237,D
Alok Uppal,alok.uppal130@yahoo.com,IT23042,EN20230042,C
Suresh Dey,suresh.dey44@yahoo.com,PH21780,EN20210780,D
Ishaan Kapoor,ishaan.kapoor459@gmail.com,CH22618,EN20220618,C
Lakshmi Mishra,lakshmi.mishra406@yahoo.com,CS20593,EN20200593,D
Karan Rastogi,karan.rastogi444@college.ac.in,CS24603,EN20240603,A
Radhika Malhotra,radhika.malhotra309@college.ac.in,IT23652,EN20230652,D
Divya Kumar,divya.kumar388@student.edu,EC24328,EN20240328,D
Vishal Varma,vishal.varma138@college.ac.in,CS21787,EN20210787,D
Rajan Jain,rajan.jain974@outlook.com,EC20067,EN20200067,B
Yasmin Kapoor,yasmin.kapoor437@student.edu,CE23146,EN20230146,B
Lakshmi Ahuja,lakshmi.ahuja717@outlook.com,BT24718,EN20240718,C
Vinay Murthy,vinay.murthy878@student.edu,IT20807,EN20200807,A
Megha Tripathi,megha.tripathi17@outlook.com,CH20537,EN20200537,C
Archana Lal,archana.lal176@student.edu,CH21550,EN20210550,B
Abhishek Bajaj,abhishek.bajaj535@yahoo.com,MA20658,EN20200658,D
Disha Thakur,disha.thakur793@outlook.com,EE20815,EN20200815,C
Varun Chopra,varun.chopra24@yahoo.com,EC22562,EN20220562,C
Rakesh Choudhary,rakesh.choudhary247@gmail.com,EE21731,EN20210731,D
Divya Bhatt,divya.bhatt345@gmail.com,CH22177,EN20220177,B
Siddharth Sethi,siddharth.sethi202@college.ac.in,BT20154,EN20200154,A
Ritika Sinha,ritika.sinha724@yahoo.com,BT20750,EN20200750,B
Rahul Madan,rahul.madan509@student.edu,CH21910,EN20210910,A
Suresh Bansal,suresh.bansal750@college.ac.in,CE21989,EN20210989,D
Ananya Tiwari,ananya.tiwari279@yahoo.com,ME22331,EN20220331,A
Tushar Saxena,tushar.saxena890@gmail.com,PH21165,EN20210165,C
Pooja Arora,pooja.arora766@outlook.com,PH24490,EN20240490,B
Rohit Rathore,rohit.rathore304@yahoo.com,MA21160,EN20210160,D
Jyoti Saxena,jyoti.saxena961@college.ac.in,CS20954,EN20200954,A
Rohan Joshi,rohan.joshi203@outlook.com,ME20864,EN20200864,A
Arjun Sethi,arjun.sethi844@outlook.com,CE24741,EN20240741,A
Alok Bajaj,alok.bajaj42@gmail.com,ME21730,EN20210730,C
Karan Srivastava,karan.srivastava461@outlook.com,BT23428,EN20230428,C
Piyush Singh,piyush.singh464@yahoo.com,ME21910,EN20214563,D
Rekha Walia,rekha.walia898@yahoo.com,EC22497,EN20220497,A
Rajat Pillai,rajat.pillai109@student.edu,BT24423,EN20240423,B
Priya Mehta,priya.mehta918@outlook.com,ME22886,EN20220886,C
Shivani Pillai,shivani.pillai338@college.ac.in,MA22313,EN20220313,C
Zara Naidu,zara.naidu197@gmail.com,CE23486,EN20230486,C
Vandana Mishra,vandana.mishra711@college.ac.in,CE22237,EN20220237,D
Tarun Saini,tarun.saini758@yahoo.com,EC22892,EN20220892,A
Priyanka Reddy,priyanka.reddy188@gmail.com,EC24952,EN20240952,A
Riya Anand,riya.anand711@college.ac.in,PH20517,EN20200517,D
Sanjay Chawla,sanjay.chawla420@college.ac.in,MA24911,EN20240911,B
Tushar Kumar,tushar.kumar644@yahoo.com,EC21660,EN20210660,C
Sakshi Vij,sakshi.vij663@outlook.com,PH24449,EN20240449,B
Deepika Tiwari,deepika.tiwari52@student.edu,MA23051,EN20230051,D
Simran Roy,simran.roy332@gmail.com,PH22913,EN20220913,B
Vinay Saxena,vinay.saxena614@outlook.com,EC24748,EN20240748,D
Ayesha Dey,ayesha.dey814@student.edu,PH22659,EN20220659,B
Rahul Srivastava,rahul.srivastava723@yahoo.com,EE23919,EN20230919,B
Siddharth Xavier,siddharth.xavier380@yahoo.com,IT22903,EN20220903,C
Pooja Upadhyay,pooja.upadhyay539@gmail.com,MA22379,EN20220379,C
Rohit Ahuja,rohit.ahuja685@yahoo.com,BT24066,EN20240066,B
Kriti Bajaj,kriti.bajaj26@outlook.com,IT22164,EN20220164,A
Varun Saini,varun.saini985@outlook.com,EE24107,EN20240107,C
Lokesh Choudhary,lokesh.choudhary245@student.edu,MA23117,EN20230117,C
Kapil Yadava,kapil.yadava884@student.edu,PH23279,EN20230279,B
Yash Yadava,yash.yadava429@outlook.com,ME21688,EN20210688,A
Arjun Chopra,arjun.chopra733@yahoo.com,CE22374,EN20220374,D
Seema Dua,seema.dua738@outlook.com,PH22600,EN20220600,A
Sachin Walia,sachin.walia354@student.edu,CE24497,EN20240497,C
Piyush Iyer,piyush.iyer315@gmail.com,CH23929,EN20230929,D
Ayesha Varma,ayesha.varma352@gmail.com,EE23788,EN20230788,C
Archana Negi,archana.negi434@yahoo.com,IT23023,EN20230023,C
Isha Ahuja,isha.ahuja978@college.ac.in,BT20398,EN20200398,B
Pallavi Sethi,pallavi.sethi897@yahoo.com,EC22094,EN20220094,B
Riya Lakhotia,riya.lakhotia472@gmail.com,EE23656,EN20230656,C
Preeti Prasad,preeti.prasad625@college.ac.in,CE21700,EN20210700,D
Karan Patel,karan.patel802@outlook.com,EC24014,EN20240014,D
Sonal Chauhan,sonal.chauhan248@student.edu,IT23215,EN20230215,C
Jyoti Verma,jyoti.verma350@outlook.com,CH20312,EN20200312,A
Shweta Upadhyay,shweta.upadhyay961@gmail.com,BT23732,EN20230732,B
Vandana Vij,vandana.vij948@outlook.com,CS20045,EN20200045,D
Kapil Luthra,kapil.luthra433@gmail.com,CE24914,EN20240914,C
Madhuri Joshi,madhuri.joshi215@yahoo.com,CH24370,EN20240370,C
Ankita Walia,ankita.walia478@student.edu,MA20595,EN20200595,A
Mohit Watts,mohit.watts538@outlook.com,EE23469,EN20230469,C
Isha Malhotra,isha.malhotra941@outlook.com,CH24911,EN20248374,A
Ananya Bahl,ananya.bahl666@outlook.com,PH23698,EN20230698,A
Simran Khatri,simran.khatri430@yahoo.com,MA23531,EN20230531,D
Rohan Chopra,rohan.chopra180@college.ac.in,CH22911,EN20220911,D
Suresh Chauhan,suresh.chauhan858@outlook.com,IT23229,EN20230229,A
Naveen Yadava,naveen.yadava925@college.ac.in,CE20733,EN20200733,D
Payal Grover,payal.grover301@yahoo.com,ME23205,EN20230205,A
Ravi Bajaj,ravi.bajaj252@yahoo.com,BT23640,EN20230640,D
Pankaj Malhotra,pankaj.malhotra298@yahoo.com,CS22370,EN20220370,C
Ramesh Chadha,ramesh.chadha121@student.edu,IT22845,EN20220845,D
Isha Mathur,isha.mathur334@yahoo.com,ME23131,EN20230131,C
Swati Jha,swati.jha875@student.edu,EE22819,EN20220819,D
Rohit Arora,rohit.arora891@yahoo.com,CH24931,EN20240931,A
Sonal Singh,sonal.singh28@outlook.com,EC21927,EN20210927,B
Usha Das,usha.das914@gmail.com,EC22374,EN20221900,A
Lakshmi Chauhan,lakshmi.chauhan155@yahoo.com,BT21230,EN20210230,A
Mohit Bahl,mohit.bahl602@yahoo.com,EC24110,EN20240110,A
Piyush Madan,piyush.madan958@outlook.com,MA20059,EN20200059,D
Harsha Madan,harsha.madan507@college.ac.in,CE24528,EN20240528,A
Zara Pathak,zara.pathak925@yahoo.com,IT24470,EN20240470,A
Aditi Negi,aditi.negi798@college.ac.in,ME22217,EN20220217,D
Madhuri Madan,madhuri.madan864@gmail.com,BT20891,EN20200891,A
Vivek Rastogi,vivek.rastogi937@gmail.com,CS24576,EN20240576,A
Riya Chawla,riya.chawla977@student.edu,CS21523,EN20210523,A
Ayesha Walia,ayesha.walia832@gmail.com,ME22689,EN20220689,A
Isha Uppal,isha.uppal713@yahoo.com,EE21488,EN20210488,C
Vishal Saini,vishal.saini648@college.ac.in,CH23592,EN20230592,D
Megha Dua,megha.dua884@outlook.com,BT23736,EN20230736,D
Akash Oberoi,akash.oberoi72@student.edu,PH21405,EN20210405,B
Sunil Dey,sunil.dey115@gmail.com,BT22574,EN20220574,D
Sara Yadav,sara.yadav24@student.edu,CS22127,EN20220127,B
Yash Sethi,yash.sethi622@gmail.com,CE24008,EN20240008,C
Bhavna Jha,bhavna.jha789@outlook.com,CH22119,EN20220119,C
Sanjay Tandon,sanjay.tandon809@yahoo.com,IT20141,EN20200141,B
Ritika Joshi,ritika.joshi492@student.edu,CH21897,EN20210897,B
Rajan Bhatt,rajan.bhatt376@student.edu,EE24079,EN20240079,A
Vishal Handa,vishal.handa979@gmail.com,CS22119,EN20221719,D
Rekha Chauhan,rekha.chauhan410@outlook.com,MA23207,EN20230207,B
Sara Sethi,sara.sethi321@student.edu,MA24607,EN20240607,C
Ramesh Oberoi,ramesh.oberoi211@outlook.com,CH23872,EN20230872,B
Jyoti Rathore,jyoti.rathore872@college.ac.in,ME21081,EN20210081,A
Rajan Reddy,rajan.reddy350@yahoo.com,ME24617,EN20240617,A
Sunil Kapoor,sunil.kapoor427@yahoo.com,EC21809,EN20210809,B
Vijay Mehta,vijay.mehta372@outlook.com,EC22355,EN20220355,B
Chetan Joshi,chetan.joshi38@college.ac.in,CE24604,EN20240604,D
Kavya Watts,kavya.watts141@gmail.com,PH23301,EN20230301,D
Raj Reddy,raj.reddy902@gmail.com,PH24554,EN20240554,D
Rohit Chadha,rohit.chadha929@college.ac.in,EC21324,EN20210324,C
Ekta Bahl,ekta.bahl264@gmail.com,MA20136,EN20200136,A
Bhavna Watts,bhavna.watts375@college.ac.in,MA20866,EN20200866,C
Preeti Kapoor,preeti.kapoor511@outlook.com,CE24723,EN20240723,A
Karan Garg,karan.garg898@college.ac.in,ME21368,EN20210368,D
Usha Sinha,usha.sinha277@college.ac.in,ME20043,EN20200043,D
Naveen Khanna,naveen.khanna399@student.edu,CE24767,EN20240767,C
Lokesh Goyal,lokesh.goyal493@outlook.com,EE22001,EN20220001,A
Aditi Thakur,aditi.thakur111@college.ac.in,CS24890,EN20240890,A
Priyanka Anand,priyanka.anand413@outlook.com,EE24325,EN20240325,A
Sanjeev Varma,sanjeev.varma107@college.ac.in,CE24547,EN20240547,A
Ritika Chandra,ritika.chandra723@gmail.com,MA20775,EN20200775,C
Vivek Wadhwa,vivek.wadhwa343@college.ac.in,IT22526,EN20220770,D
Akash Batra,akash.batra110@gmail.com,ME21012,EN20210012,B
Sara Chauhan,sara.chauhan518@college.ac.in,PH24776,EN20240776,C
Shweta Rastogi,shweta.rastogi165@outlook.com,IT20643,EN20200643,C
Tushar Varma,tushar.varma591@college.ac.in,CH21074,EN20218884,B
Yasmin Das,yasmin.das363@college.ac.in,PH22680,EN20220680,A
Pallavi Roy,pallavi.roy311@college.ac.in,MA21764,EN20210764,C
Meera Khatri,meera.khatri7@student.edu,EE22296,EN20220296,C
Rahul Xavier,rahul.xavier104@college.ac.in,CS22095,EN20220095,D
Pankaj Prasad,pankaj.prasad704@yahoo.com,ME24224,EN20240224,C
Varun Chandra,varun.chandra689@student.edu,ME21908,EN20210908,B
Jyoti Batra,jyoti.batra351@yahoo.com,IT20227,EN20200227,D
Arvind Lakhotia,arvind.lakhotia20@student.edu,CE23437,EN20230437,D
Yash Patel,yash.patel462@college.ac.in,EE22604,EN20220604,D
Himanshu Rathore,himanshu.rathore677@college.ac.in,EC24659,EN20244938,C
Lakshmi Chandra,lakshmi.chandra964@student.edu,MA23696,EN20230696,D
Tushar Chopra,tushar.chopra170@yahoo.com,CH24707,EN20240707,A
Rakesh Pathak,rakesh.pathak224@gmail.com,MA23038,EN20230038,C
Sanjay Das,sanjay.das337@yahoo.com,CE22741,EN20220741,C
Kavya Singh,kavya.singh140@yahoo.com,IT20473,EN20200473,C
Ritika Varma,ritika.varma970@yahoo.com,EC20640,EN20200640,C
Nidhi Chauhan,nidhi.chauhan941@gmail.com,CS23057,EN20230057,D
Sneha Arora,sneha.arora438@gmail.com,PH21227,EN20210227,D
Siddharth Dua,siddharth.dua265@yahoo.com,CS21439,EN20210439,D
Rakesh Watts,rakesh.watts19@college.ac.in,CE22848,EN20220848,D
Megha Kumar,megha.kumar230@yahoo.com,IT23086,EN20230086,A
Meera Chawla,meera.chawla836@outlook.com,BT23317,EN20230317,C
Kapil Choudhary,kapil.choudhary824@outlook.com,BT22532,EN20220532,B
Raj Rao,raj.rao24@college.ac.in,PH23910,EN20230910,A
Harsha Pathak,harsha.pathak539@student.edu,CE21915,EN20210915,D
Jyoti Xavier,jyoti.xavier114@gmail.com,BT23376,EN20230376,A
Sanjay Pandey,sanjay.pandey791@college.ac.in,CH24964,EN20240964,B
Monika Mathur,monika.mathur722@yahoo.com,CS24118,EN20240118,C
Himanshu Kapoor,himanshu.kapoor799@outlook.com,CS20200,EN20200200,C
Harsh Vij,harsh.vij969@gmail.com,PH23175,EN20230175,D
Ankita Srivastava,ankita.srivastava123@gmail.com,CS23863,EN20230863,B
Jyoti Tripathi,jyoti.tripathi520@outlook.com,ME22151,EN20220151,B
Lakshmi Watts,lakshmi.watts928@yahoo.com,EE20671,EN20200671,C
Aditi Goel,aditi.goel828@outlook.com,CE23515,EN20230515,B
Lokesh Bansal,lokesh.bansal838@yahoo.com,CE21664,EN20210664,C
Ishaan Walia,ishaan.walia860@yahoo.com,IT21728,EN20210728,D
Rohan Negi,rohan.negi362@outlook.com,CE24583,EN20240583,C
Shivani Pandey,shivani.pandey410@college.ac.in,EE21608,EN20210608,B
Bhavna Shukla,bhavna.shukla904@yahoo.com,EC22145,EN20220145,C
Ramesh Rastogi,ramesh.rastogi874@student.edu,CH20342,EN20200342,A
Priya Mehta,priya.mehta750@college.ac.in,PH23876,EN20230876,B
Aishwarya Xavier,aishwarya.xavier897@yahoo.com,EC21481,EN20210481,D
Gaurav Singh,gaurav.singh127@college.ac.in,CH23619,EN20230619,D
Swati Khanna,swati.khanna884@gmail.com,CE22674,EN20220674,D
Yasmin Iyer,yasmin.iyer669@college.ac.in,EC23902,EN20230902,C
Kunal Vashistha,kunal.vashistha638@gmail.com,PH20466,EN20200466,A
Kriti Dhawan,kriti.dhawan240@gmail.com,BT22297,EN20227894,C
Raj Mishra,raj.mishra822@student.edu,EE20974,EN20200974,D
Swati Shah,swati.shah681@student.edu,BT24257,EN20240257,B
Rajan Khanna,rajan.khanna49@outlook.com,ME23609,EN20230609,B
Mohit Tandon,mohit.tandon554@student.edu,MA20334,EN20200334,D
Meera Choudhary,meera.choudhary593@outlook.com,EE23961,EN20230961,D
Radhika Kumar,radhika.kumar227@gmail.com,CS24325,EN20240734,D
Suresh Verma,suresh.verma513@yahoo.com,CH22427,EN20220427,A
Isha Yadav,isha.yadav167@college.ac.in,EE21369,EN20210369,A
Abhishek Roy,abhishek.roy626@yahoo.com,ME21602,EN20210602,A
Ravi Lakhotia,ravi.lakhotia503@outlook.com,ME20729,EN20200729,D
Megha Bahl,megha.bahl621@yahoo.com,MA20118,EN20200118,C
Amit Verma,amit.verma422@outlook.com,EE21505,EN20210505,B
Nikhil Dhawan,nikhil.dhawan154@student.edu,EC24742,EN20240742,B
Swati Patel,swati.patel549@outlook.com,IT22882,EN20220882,B
Seema Luthra,seema.luthra988@gmail.com,EE23576,EN20230576,D
Aarav Chandra,aarav.chandra180@college.ac.in,MA21906,EN20210906,D
Ankita Jain,ankita.jain507@outlook.com,CH21892,EN20210892,C
Archana Das,archana.das794@yahoo.com,EE22045,EN20220045,B
Neha Vashistha,neha.vashistha362@outlook.com,EC21781,EN20210781,B
Deepika Rathore,deepika.rathore772@college.ac.in,ME21176,EN20210176,C
Divya Joshi,divya.joshi186@college.ac.in,IT20425,EN20200425,D
Nidhi Khatri,nidhi.khatri203@yahoo.com,CS20955,EN20200955,C
Vandana Khanna,vandana.khanna989@gmail.com,EE24574,EN20240574,A
Sanjay Rao,sanjay.rao666@college.ac.in,PH23620,EN20230620,A
Ankita Chawla,ankita.chawla271@gmail.com,EE21784,EN20210784,B
Preeti Anand,preeti.anand843@student.edu,PH24983,EN20240983,D
Sanjay Luthra,sanjay.luthra721@outlook.com,EC21563,EN20210563,C
Ashish Arora,ashish.arora949@college.ac.in,CE23906,EN20230906,D
Rajan Talwar,rajan.talwar796@gmail.com,PH24876,EN20240876,A
Nisha Negi,nisha.negi141@gmail.com,EE22769,EN20220769,D
Nisha Chawla,nisha.chawla203@college.ac.in,CS20990,EN20200990,D
Radhika Vij,radhika.vij978@gmail.com,CS22590,EN20220590,B
Vikram Pandey,vikram.pandey607@gmail.com,CH21227,EN20211942,A
Sonal Khatri,sonal.khatri391@yahoo.com,CE21637,EN20210637,A
Amit Joshi,amit.joshi187@student.edu,CE22289,EN20220289,B
Arvind Agarwal,arvind.agarwal246@yahoo.com,IT23813,EN20230813,C
Siddharth Yadava,siddharth.yadava530@outlook.com,CH23243,EN20230243,B
Rohit Pathak,rohit.pathak139@college.ac.in,BT22015,EN20220015,C
Manish Talwar,manish.talwar201@student.edu,ME21230,EN20213127,A
Neha Varma,neha.varma970@yahoo.com,BT23805,EN20230805,A
Himanshu Khatri,himanshu.khatri788@gmail.com,BT21525,EN20210525,A
Varun Nair,varun.nair446@outlook.com,ME22227,EN20220227,D
Gaurav Shah,gaurav.shah907@college.ac.in,CH22452,EN20220452,B
Sanjay Khatri,sanjay.khatri800@gmail.com,CS24681,EN20240681,B
Shivani Goel,shivani.goel964@student.edu,CE22960,EN20220960,B
Sneha Arora,sneha.arora668@outlook.com,MA24011,EN20240011,D
Sachin Agarwal,sachin.agarwal663@yahoo.com,EC23684,EN20230684,B
Neha Dua,neha.dua694@student.edu,PH23355,EN20230355,B
Vivek Lal,vivek.lal395@outlook.com,CE20123,EN20200123,A
Swati Singh,swati.singh435@gmail.com,EC23610,EN20230610,C
Mohit Nanda,mohit.nanda921@gmail.com,BT22845,EN20220430,C
Vivek Dubey,vivek.dubey998@outlook.com,EC24295,EN20240295,B
Rekha Ahuja,rekha.ahuja401@outlook.com,PH21831,EN20210831,B
Sunil Goel,sunil.goel274@student.edu,ME24621,EN20240621,B
Tushar Dubey,tushar.dubey36@gmail.com,EE24093,EN20240093,C
Kriti Mishra,kriti.mishra876@gmail.com,CE22302,EN20220302,D
Kunal Yadava,kunal.yadava167@yahoo.com,BT23145,EN20230145,B
Piyush Dua,piyush.dua841@yahoo.com,EE23506,EN20230506,B
Divya Lakhotia,divya.lakhotia537@college.ac.in,PH23708,EN20230708,A
Swati Goyal,swati.goyal909@outlook.com,ME22418,EN20220418,B
Pallavi Rastogi,pallavi.rastogi156@college.ac.in,CH24024,EN20240024,C
Rekha Mishra,rekha.mishra747@student.edu,CS23231,EN20230231,C
Tushar Zaman,tushar.zaman788@outlook.com,CS21883,EN20210883,D
Seema Prasad,seema.prasad423@yahoo.com,CE20820,EN20200820,D
Kunal Arora,kunal.arora168@outlook.com,IT22170,EN20220170,D
Tushar Bajaj,tushar.bajaj223@yahoo.com,PH22929,EN20220929,B
Ananya Rathore,ananya.rathore186@yahoo.com,IT23176,EN20230176,B
Priyanka Bajaj,priyanka.bajaj369@student.edu,BT23210,EN20230210,A
Siddharth Verma,siddharth.verma933@yahoo.com,CE20723,EN20200723,A
Himanshu Lal,himanshu.lal32@student.edu,PH20671,EN20202079,B
Varun Dua,varun.dua104@student.edu,PH23598,EN20230598,B
Sachin Oberoi,sachin.oberoi936@outlook.com,IT22105,EN20220105,A
Vandana Srivastava,vandana.srivastava777@yahoo.com,CH24236,EN20240236,B
Isha Chauhan,isha.chauhan584@gmail.com,PH21977,EN20210977,A
Aishwarya Rathore,aishwarya.rathore505@student.edu,CE23057,EN20231046,B
Sachin Bose,sachin.bose971@yahoo.com,CE22426,EN20220426,B
Sachin Rao,sachin.rao647@college.ac.in,MA23680,EN20230680,A
Usha Vij,usha.vij102@student.edu,CE20640,EN20204302,C
Usha Reddy,usha.reddy304@student.edu,CS22009,EN20220009,B
Neha Xavier,neha.xavier143@gmail.com,ME20632,EN20200632,D
Zara Watts,zara.watts759@yahoo.com,EE24552,EN20240552,D
Ekta Watts,ekta.watts822@student.edu,CS23215,EN20231694,A
Gaurav Ahuja,gaurav.ahuja252@college.ac.in,ME22866,EN20220866,D
Ravi Handa,ravi.handa38@student.edu,CH23045,EN20230045,D
Nidhi Sinha,nidhi.sinha257@college.ac.in,CH22728,EN20220728,A
Radhika Patel,radhika.patel98@outlook.com,CS21536,EN20210536,D
Harsha Dubey,harsha.dubey948@outlook.com,ME22852,EN20220852,C
Rakesh Uppal,rakesh.uppal529@student.edu,EC21133,EN20210133,D
Bhavna Sharma,bhavna.sharma324@yahoo.com,ME23535,EN20230535,C
Amit Pathak,amit.pathak748@college.ac.in,MA24776,EN20243421,D
Neeraj Rastogi,neeraj.rastogi91@yahoo.com,CS20230,EN20200230,A
Bhavna Saxena,bhavna.saxena702@college.ac.in,PH23415,EN20230415,D
